"age","income","title","experience","instrument","band"
46,35053,"performer",28,"piano",0
33,37917,"performer",18,"guitar",1
39,22621,"educator",14,"piano",0
22,20537,"performer",2,"voice",1
45,33155,"educator",15,"violin",1
32,47311,"composer",28,"voice",0
32,34250,"educator",14,"guitar",1
34,23197,"educator",15,"voice",1
55,50858,"performer",31,"voice",0
41,45403,"manager",19,"voice",1
38,25089,"composer",6,"saxophone",1
51,36522,"performer",32,"voice",0
41,25949,"educator",10,"voice",1
47,64343,"performer",35,"violin",0
32,31064,"producer",14,"violin",1
32,23169,"educator",6,"guitar",1
25,34321,"educator",11,"piano",1
41,22248,"performer",3,"voice",1
52,43570,"educator",28,"piano",0
30,35961,"educator",12,"piano",1
34,72361,"educator",43,"drums",0
35,31031,"performer",23,"drums",1
35,22555,"composer",16,"guitar",1
31,23051,"performer",9,"guitar",1
44,54382,"educator",25,"voice",0
47,32313,"educator",9,"voice",0
42,27986,"educator",13,"piano",1
44,21001,"performer",7,"piano",1
43,21747,"producer",10,"violin",1
55,39834,"producer",16,"drums",1
33,43505,"manager",26,"drums",0
42,33570,"performer",28,"voice",0
31,36405,"composer",24,"piano",1
47,31579,"composer",28,"guitar",0
33,12728,"performer",5,"drums",0
53,54732,"educator",25,"saxophone",1
37,41615,"composer",21,"voice",1
45,50755,"performer",31,"violin",0
59,25010,"educator",12,"guitar",1
48,25380,"composer",9,"guitar",1
37,26476,"performer",14,"voice",1
51,47069,"educator",23,"voice",1
28,47731,"manager",16,"voice",1
43,59766,"educator",32,"guitar",1
52,40257,"manager",12,"piano",1
46,59959,"composer",37,"piano",1
34,48486,"composer",34,"voice",1
41,16791,"educator",5,"violin",1
26,22430,"manager",12,"piano",1
38,23345,"manager",1,"guitar",1
45,38422,"performer",33,"saxophone",0
43,35201,"educator",12,"guitar",1
38,30322,"composer",11,"guitar",1
44,29803,"performer",15,"guitar",1
47,37616,"performer",25,"piano",0
45,21882,"composer",3,"guitar",1
24,45814,"manager",26,"guitar",1
42,34639,"performer",14,"guitar",0
47,37187,"educator",21,"guitar",1
40,22312,"performer",6,"piano",1
47,26004,"educator",6,"guitar",1
40,23035,"performer",9,"guitar",1
51,29846,"manager",27,"voice",0
32,48711,"performer",31,"voice",0
36,28230,"manager",13,"piano",1
50,53533,"performer",30,"piano",0
63,44268,"educator",31,"guitar",1
36,33572,"manager",16,"voice",1
38,41004,"manager",26,"saxophone",1
22,22304,"manager",8,"drums",1
34,31568,"performer",17,"guitar",1
35,26018,"composer",3,"voice",1
47,33194,"performer",20,"guitar",1
50,29396,"performer",15,"guitar",1
48,29782,"performer",30,"voice",0
38,74592,"educator",47,"piano",0
33,43208,"educator",19,"saxophone",1
55,27944,"composer",10,"voice",1
30,43790,"performer",16,"violin",1
56,48385,"educator",23,"saxophone",1
33,49894,"educator",32,"drums",0
63,24720,"educator",27,"voice",0
53,33407,"manager",32,"drums",0
43,41239,"performer",10,"drums",1
42,38691,"performer",24,"piano",1
45,23727,"performer",16,"piano",1
34,39586,"performer",23,"voice",1
47,35465,"manager",12,"guitar",1
29,42587,"composer",28,"guitar",1
44,25403,"composer",16,"guitar",1
30,30553,"educator",18,"guitar",1
42,27427,"performer",10,"voice",1
41,51212,"performer",32,"guitar",0
41,51370,"composer",27,"piano",0
44,22478,"composer",9,"guitar",1
23,24203,"manager",27,"guitar",0
32,23113,"producer",14,"guitar",1
40,44806,"composer",6,"drums",1
38,30123,"educator",12,"drums",1
47,37314,"manager",9,"guitar",1
45,21532,"educator",12,"guitar",1
35,21836,"manager",6,"guitar",1
26,30128,"performer",26,"guitar",0
35,27346,"performer",15,"guitar",0
36,22302,"performer",10,"guitar",1
32,28044,"composer",12,"guitar",1
42,36817,"performer",31,"guitar",0
47,48980,"performer",27,"voice",0
53,45422,"educator",17,"drums",1
33,44837,"performer",27,"piano",0
45,26637,"performer",10,"guitar",0
38,42948,"performer",31,"guitar",0
47,34766,"performer",15,"voice",1
25,41363,"educator",32,"guitar",0
31,58016,"manager",20,"piano",1
45,23946,"manager",8,"piano",1
31,38996,"composer",20,"drums",0
30,43414,"educator",19,"voice",1
34,36857,"educator",16,"saxophone",1
52,26867,"performer",14,"saxophone",1
55,43650,"performer",24,"guitar",1
49,25937,"educator",8,"drums",1
41,53666,"performer",32,"drums",0
33,13569,"composer",5,"piano",0
42,30664,"educator",19,"guitar",0
36,44022,"performer",14,"voice",1
59,73359,"performer",35,"voice",0
55,29415,"performer",12,"piano",1
32,46783,"manager",30,"violin",1
26,44165,"performer",19,"guitar",0
45,44700,"composer",17,"guitar",0
41,34509,"performer",21,"piano",0
38,57992,"educator",34,"drums",0
45,32825,"performer",8,"violin",0
47,37013,"educator",30,"voice",0
39,23967,"educator",19,"drums",1
23,24180,"educator",2,"voice",1
24,28242,"manager",26,"guitar",0
37,44418,"educator",36,"violin",0
46,48661,"producer",33,"guitar",0
39,58275,"composer",24,"voice",1
45,26947,"composer",10,"voice",1
28,68522,"educator",35,"voice",0
30,19402,"performer",10,"piano",1
48,33067,"performer",9,"drums",1
49,58319,"educator",34,"violin",0
31,26057,"educator",11,"drums",1
35,44126,"composer",30,"guitar",1
32,27899,"manager",14,"guitar",1
35,25874,"performer",6,"piano",1
51,24704,"producer",16,"drums",1
31,44939,"producer",23,"piano",1
39,32833,"performer",19,"guitar",1
32,48842,"producer",30,"drums",0
40,26155,"educator",10,"guitar",1
